City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,oranjemund,-28.55,16.4333,17.01,95,20,3.23,NA,1674431858
300,nelson bay,-32.7167,152.15,22.78,87,98,3.13,AU,1674432100
301,puerto escondido,15.85,-97.0667,25.95,72,1,1.62,MX,1674431525
302,bani walid,31.7566,13.9942,9.83,62,75,2.09,LY,1674432100
303,cap malheureux,-19.9842,57.6142,25.26,81,100,3.68,MU,1674431804
304,karratha,-20.7377,116.8463,29.44,56,44,1.89,AU,1674431731
305,magadi,12.9667,77.2333,15.24,82,36,3.28,IN,1674431960
306,roma,43.2128,-75.4557,1.16,93,100,2.06,US,1674431735
307,ingham,42.6,-84.3833,-0.21,91,100,1.54,US,1674432101
308,havoysund,70.9963,24.6622,1.13,76,100,4.68,NO,1674431985
309,athabasca,54.7169,-113.2854,0.23,82,17,5.51,CA,1674431832
310,sangmelima,2.9333,11.9833,20.07,92,64,1.31,CM,1674432102
311,half moon bay,37.4636,-122.4286,16.06,40,0,9.26,US,1674431817
312,avera,33.194,-82.5271,7.73,95,100,2.93,US,1674431562
313,knittelfeld,47.2167,14.8167,-0.85,89,80,0.95,AT,1674432103
314,ust-ilimsk,58.0006,102.6619,-39.16,96,53,1.82,RU,1674432103
315,port pirie,-33.1833,138.0167,28.64,30,70,2.45,AU,1674432103
316,keetmanshoop,-26.5833,18.1333,26.84,33,89,5.86,NA,1674432104
317,goundam,16.4145,-3.6708,22.08,13,3,4.28,ML,1674432104
318,inirida,3.8653,-67.9239,23.86,87,100,1.01,CO,1674431990
319,hays,30.0502,-98.0336,13.68,37,0,1.34,US,1674432105
320,sistranda,63.7256,8.834,4.98,56,100,6.04,NO,1674431756
321,yumen,40.2833,97.2,-17.49,55,58,1.68,CN,1674431559
322,xai-xai,-25.0519,33.6442,25.7,84,78,4.24,MZ,1674432106
323,cabo san lucas,22.8909,-109.9124,24.23,69,49,2.24,MX,1674431464
324,vestmannaeyjar,63.4427,-20.2734,2.8,54,98,10.07,IS,1674431698
325,vaitape,-16.5167,-151.75,26.47,70,94,1.65,PF,1674431732
326,san quintin,30.4833,-115.95,14.36,65,2,6.5,MX,1674431568
327,finschhafen,-6.6024,147.8681,29.39,69,99,1.62,PG,1674432107
328,awjilah,29.1081,21.2869,12.07,45,0,3.66,LY,1674431860
329,kirakira,-10.4544,161.9205,29.4,69,95,1.95,SB,1674431512
330,olga,43.7444,135.2892,-14.14,65,100,2.13,RU,1674432107
331,katangli,51.7102,143.2326,-29.39,89,23,4.02,RU,1674432108
332,kavaratti,10.5669,72.642,26.49,71,92,4.85,IN,1674431839
333,haimen,23.1935,116.6142,16.34,90,25,5.75,CN,1674432108
334,magistralnyy,56.1725,107.4458,-42.91,97,40,1.34,RU,1674432109
335,severo-yeniseyskiy,60.3725,93.0408,-25.4,97,100,2.66,RU,1674432109
